,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[0],0.521,0.132,0.306,0.726,0.001,0.0,49975.167,48436.355,
LT0[1],-0.108,0.115,-0.295,0.073,0.001,0.0,48832.583,49278.686,
LT0[2],0.178,0.126,-0.021,0.38,0.001,0.0,49140.059,47651.163,
LT0[3],0.01,0.124,-0.181,0.214,0.001,0.0,49802.856,48865.688,
LT0[4],0.167,0.115,-0.019,0.349,0.001,0.0,48681.432,49044.963,
LT0[5],0.32,0.124,0.123,0.52,0.001,0.0,50086.423,50144.6,
LT0[6],-0.193,0.108,-0.364,-0.019,0.0,0.0,49470.242,49449.501,
LT0[7],0.504,0.142,0.275,0.73,0.001,0.0,50233.469,49704.947,
LT0[8],0.377,0.08,0.25,0.505,0.0,0.0,49270.657,49505.04,
LT0[9],-0.071,0.104,-0.237,0.096,0.0,0.0,49970.873,48581.803,
LT0[10],-1.378,0.107,-1.553,-1.212,0.0,0.0,50471.489,49692.215,
LT0[11],0.335,0.172,0.065,0.616,0.001,0.001,49596.844,49128.099,
LT0[12],0.085,0.103,-0.08,0.252,0.0,0.0,50525.486,48761.463,
LT0[13],0.137,0.112,-0.045,0.311,0.001,0.0,49539.391,48580.56,
LT0[14],0.034,0.166,-0.232,0.295,0.001,0.001,50206.001,49257.391,
LT0[15],-0.719,0.124,-0.914,-0.519,0.001,0.0,51080.544,49836.113,
LT0[16],-0.238,0.214,-0.574,0.109,0.001,0.001,49762.703,49298.198,
LT0[17],0.197,0.156,-0.051,0.447,0.001,0.0,49516.215,49107.613,
LT0[18],-0.634,0.189,-0.93,-0.325,0.001,0.001,49488.125,48654.065,
LT0[19],0.067,0.164,-0.19,0.335,0.001,0.001,49540.71,48084.813,
LT0[20],0.031,0.106,-0.135,0.204,0.0,0.0,49952.937,49058.273,
LT0[21],0.498,0.12,0.304,0.687,0.001,0.0,50099.121,49131.294,
LT0[22],0.143,0.139,-0.074,0.37,0.001,0.0,48358.809,49198.117,
LT0[23],-0.36,0.186,-0.656,-0.063,0.001,0.001,49981.111,50773.775,
LT0[24],0.331,0.151,0.089,0.569,0.001,0.0,50236.123,49035.473,
LT0[25],0.251,0.196,-0.062,0.561,0.001,0.001,49736.213,50029.53,
LT0[26],-0.03,0.099,-0.185,0.132,0.0,0.0,49650.014,49920.701,
LT0[27],0.419,0.111,0.24,0.596,0.001,0.0,49284.234,50046.345,
LT0[28],0.072,0.129,-0.139,0.273,0.001,0.0,49959.318,49175.654,
LT0[29],0.064,0.148,-0.175,0.295,0.001,0.0,50301.237,49430.069,
LT0[30],0.076,0.151,-0.165,0.314,0.001,0.0,49735.862,50046.345,
LT0[31],-0.163,0.171,-0.432,0.116,0.001,0.001,49750.129,49655.428,
LT0[32],0.036,0.143,-0.188,0.268,0.001,0.0,49632.305,48870.479,
LT0[33],0.183,0.175,-0.105,0.454,0.001,0.001,49195.84,49054.275,
LT0[34],-0.647,0.171,-0.925,-0.38,0.001,0.001,50066.828,49627.096,
LT0[35],0.392,0.13,0.186,0.6,0.001,0.0,49640.124,49756.483,
LT0[36],-0.125,0.148,-0.366,0.106,0.001,0.0,50198.013,49462.679,
LT0[37],0.083,0.132,-0.133,0.29,0.001,0.0,49327.247,49085.353,
LT0[38],0.312,0.113,0.133,0.494,0.001,0.0,50134.472,49958.248,
LT0[39],-0.014,0.114,-0.19,0.172,0.001,0.0,50232.816,49812.479,
LT0[40],0.071,0.097,-0.088,0.223,0.0,0.0,49505.545,49191.092,
LT0[41],0.052,0.114,-0.136,0.231,0.001,0.0,50271.285,49943.323,
LT0[42],0.257,0.106,0.092,0.431,0.0,0.0,49196.28,49292.324,
LT0[43],0.283,0.132,0.073,0.495,0.001,0.0,49803.676,48934.177,
LT0[44],0.31,0.133,0.099,0.523,0.001,0.0,49550.199,49834.403,
LT0[45],0.759,0.149,0.519,0.995,0.001,0.0,50437.861,49961.727,
LT0[46],0.092,0.189,-0.205,0.398,0.001,0.001,49761.572,48928.925,
LT0[47],0.455,0.132,0.244,0.665,0.001,0.0,50380.098,49069.306,
LT0[48],-0.342,0.083,-0.472,-0.205,0.0,0.0,50112.329,49506.256,
LT0[49],0.517,0.163,0.262,0.781,0.001,0.001,49581.841,49794.529,
LT0[50],0.072,0.104,-0.092,0.24,0.0,0.0,48258.004,49832.318,
LT0[51],0.085,0.145,-0.144,0.319,0.001,0.0,49908.466,49877.978,
LT0[52],0.19,0.109,0.015,0.365,0.0,0.0,50506.552,48953.59,
LT0[53],0.653,0.172,0.382,0.929,0.001,0.001,49819.546,49278.389,
LT0[54],0.444,0.147,0.212,0.684,0.001,0.0,48399.783,49060.964,
LT0[55],0.288,0.144,0.062,0.523,0.001,0.0,49931.483,48981.394,
LT0[56],0.505,0.168,0.239,0.774,0.001,0.001,50623.14,50003.938,
