,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[0],0.529,0.128,0.326,0.736,0.001,0.0,49534.053,48263.129,
LT0[1],-0.112,0.115,-0.298,0.07,0.001,0.0,49624.43,48852.201,
LT0[2],0.177,0.126,-0.022,0.381,0.001,0.0,49579.693,49007.314,
LT0[3],0.009,0.121,-0.183,0.203,0.001,0.0,49915.64,49007.519,
LT0[4],0.15,0.114,-0.032,0.331,0.001,0.0,49284.18,48156.287,
LT0[5],0.321,0.125,0.121,0.518,0.001,0.0,49696.639,49379.854,
LT0[6],-0.195,0.108,-0.366,-0.021,0.0,0.0,50243.441,48700.481,
LT0[7],0.494,0.145,0.265,0.727,0.001,0.0,50420.374,49959.956,
LT0[8],0.376,0.079,0.246,0.499,0.0,0.0,49472.225,49223.621,
LT0[9],-0.062,0.108,-0.239,0.107,0.0,0.0,50056.405,49276.169,
LT0[10],-1.377,0.107,-1.55,-1.209,0.0,0.0,50359.66,48351.675,
LT0[11],0.333,0.175,0.049,0.605,0.001,0.001,49789.624,49049.637,
LT0[12],0.086,0.104,-0.081,0.25,0.0,0.0,49876.289,49053.875,
LT0[13],0.134,0.111,-0.039,0.314,0.0,0.0,49787.667,48711.297,
LT0[14],0.029,0.167,-0.234,0.296,0.001,0.001,50108.672,48744.98,
LT0[15],-0.718,0.125,-0.914,-0.513,0.001,0.0,49780.437,48285.967,
LT0[16],-0.217,0.214,-0.552,0.13,0.001,0.001,49978.287,49832.798,
LT0[17],0.183,0.154,-0.062,0.431,0.001,0.0,50476.644,49297.938,
LT0[18],-0.636,0.184,-0.93,-0.343,0.001,0.001,50091.32,48559.779,
LT0[19],0.072,0.163,-0.189,0.328,0.001,0.001,48402.667,48653.71,
LT0[20],0.021,0.104,-0.143,0.189,0.0,0.0,48494.68,49048.523,
LT0[21],0.505,0.12,0.313,0.695,0.001,0.0,49391.521,49767.854,
LT0[22],0.149,0.141,-0.081,0.371,0.001,0.0,49757.871,48215.011,
LT0[23],-0.359,0.181,-0.653,-0.075,0.001,0.001,48798.66,48693.367,
LT0[24],0.33,0.155,0.092,0.587,0.001,0.0,49752.858,49074.3,
LT0[25],0.25,0.199,-0.065,0.57,0.001,0.001,50665.12,49509.756,
LT0[26],-0.039,0.096,-0.195,0.113,0.0,0.0,49339.216,48697.763,
LT0[27],0.41,0.113,0.232,0.595,0.001,0.0,49715.818,49961.969,
LT0[28],0.073,0.132,-0.146,0.276,0.001,0.0,49064.881,49545.145,
LT0[29],0.082,0.149,-0.151,0.327,0.001,0.0,50304.355,49748.962,
LT0[30],0.074,0.149,-0.164,0.311,0.001,0.0,49830.862,49116.954,
LT0[31],-0.17,0.173,-0.453,0.099,0.001,0.001,50270.144,49335.778,
LT0[32],0.029,0.146,-0.199,0.27,0.001,0.0,48400.539,47263.848,
LT0[33],0.179,0.175,-0.104,0.456,0.001,0.001,49313.648,49343.384,
LT0[34],-0.646,0.163,-0.906,-0.385,0.001,0.001,47355.872,49305.153,
LT0[35],0.392,0.131,0.177,0.595,0.001,0.0,49733.471,49175.369,
LT0[36],-0.126,0.144,-0.357,0.104,0.001,0.0,49696.309,49103.309,
LT0[37],0.077,0.132,-0.133,0.289,0.001,0.0,50004.319,49850.927,
LT0[38],0.311,0.114,0.133,0.497,0.001,0.0,50278.799,49627.205,
LT0[39],-0.012,0.116,-0.198,0.174,0.001,0.0,50334.358,49015.696,
LT0[40],0.074,0.097,-0.08,0.233,0.0,0.0,49725.972,49710.502,
LT0[41],0.048,0.111,-0.129,0.226,0.0,0.0,50472.074,49794.502,
LT0[42],0.263,0.105,0.096,0.431,0.0,0.0,50358.422,49961.475,
LT0[43],0.268,0.126,0.068,0.47,0.001,0.0,50239.397,47943.158,
LT0[44],0.293,0.133,0.084,0.51,0.001,0.0,49108.708,48034.526,
LT0[45],0.767,0.15,0.527,1.006,0.001,0.0,47992.656,46844.489,
LT0[46],0.109,0.189,-0.196,0.407,0.001,0.001,49228.104,49503.66,
LT0[47],0.447,0.134,0.226,0.655,0.001,0.0,48503.383,48464.551,
LT0[48],-0.353,0.085,-0.49,-0.218,0.0,0.0,50127.989,49627.72,
LT0[49],0.524,0.16,0.274,0.785,0.001,0.001,49955.41,49927.046,
LT0[50],0.065,0.102,-0.096,0.231,0.0,0.0,49838.046,48536.723,
LT0[51],0.075,0.143,-0.153,0.303,0.001,0.0,48086.511,49430.026,
LT0[52],0.187,0.105,0.013,0.349,0.0,0.0,50042.587,49502.449,
LT0[53],0.668,0.168,0.403,0.94,0.001,0.001,49029.914,49284.395,
LT0[54],0.45,0.15,0.211,0.69,0.001,0.0,48983.223,49220.724,
LT0[55],0.283,0.143,0.058,0.515,0.001,0.0,50776.742,49829.201,
LT0[56],0.512,0.165,0.253,0.781,0.001,0.001,49077.785,48415.447,
LT0[57],0.057,0.163,-0.209,0.311,0.001,0.001,49912.803,49570.703,
LT0[58],-0.071,0.091,-0.219,0.073,0.0,0.0,49620.243,49183.494,
