,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[0],0.714,0.145,0.485,0.948,0.001,0.0,50138.206,49264.378,
LT0[1],-0.164,0.127,-0.365,0.041,0.001,0.0,49974.006,49175.902,
LT0[2],0.276,0.136,0.056,0.493,0.001,0.0,50980.383,49986.755,
LT0[3],0.087,0.133,-0.128,0.298,0.001,0.0,49361.082,49404.883,
LT0[4],0.028,0.13,-0.178,0.235,0.001,0.0,49494.773,49794.052,
LT0[5],0.51,0.136,0.291,0.726,0.001,0.0,50714.947,48732.619,
LT0[6],-0.325,0.112,-0.503,-0.145,0.0,0.0,50270.909,49705.572,
LT0[7],0.367,0.15,0.127,0.605,0.001,0.0,48895.062,47980.037,
LT0[8],0.436,0.085,0.297,0.571,0.0,0.0,49793.114,47249.012,
LT0[9],-0.046,0.115,-0.233,0.134,0.001,0.0,49635.79,48033.604,
LT0[10],-1.217,0.113,-1.404,-1.04,0.001,0.0,50350.065,48492.573,
LT0[11],0.093,0.188,-0.207,0.395,0.001,0.001,50226.056,49542.459,
LT0[12],-0.018,0.111,-0.195,0.16,0.0,0.0,49724.05,48300.498,
LT0[13],0.091,0.118,-0.096,0.281,0.001,0.0,49721.312,49277.318,
LT0[14],-0.289,0.172,-0.564,-0.013,0.001,0.001,49605.853,49080.181,
LT0[15],-0.334,0.128,-0.54,-0.13,0.001,0.0,49720.956,49462.627,
LT0[16],0.023,0.225,-0.335,0.377,0.001,0.001,50198.061,49023.121,
LT0[17],0.096,0.168,-0.169,0.365,0.001,0.001,49687.276,49586.832,
LT0[18],-0.512,0.194,-0.828,-0.208,0.001,0.001,49593.294,49883.77,
LT0[19],-0.129,0.176,-0.412,0.151,0.001,0.001,49081.138,48251.246,
LT0[20],0.029,0.116,-0.155,0.215,0.001,0.0,49406.362,49628.243,
LT0[21],0.594,0.132,0.387,0.811,0.001,0.0,50203.944,49603.333,
LT0[22],0.077,0.147,-0.159,0.31,0.001,0.0,48799.795,48117.072,
LT0[23],-0.31,0.191,-0.612,-0.003,0.001,0.001,50408.666,48028.859,
LT0[24],0.255,0.153,0.011,0.501,0.001,0.0,49510.742,47701.203,
LT0[25],0.404,0.204,0.075,0.729,0.001,0.001,48708.674,49567.027,
LT0[26],-0.085,0.103,-0.255,0.075,0.0,0.0,48514.339,49061.629,
