id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
1,74,1,1,1,15,-1.92192809488736,2.0,0.0780719051126377,0,0.0,100,0,0.0,,266.1971843171764,766.0,2046.887347876303
1,74,1,2,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0.0,,790.2542549562066,768.0,612.8651605575133
1,74,1,3,3,15,-1.66449777920046,1.0,0.0147718639657485,0,1.79175946922805,100,1,0.0,,1041.522466911896,771.0,2301.2668607845317
1,74,1,4,4,15,-1.5487949406954,0.807354922057604,0.0085599813622055,0,3.17805383034795,100,1,4.0,0.0,825.7331348317521,1094.0,870.4694401964008
1,74,1,5,5,15,-1.44661666762821,0.678071905112638,0.0054312691135501,0,4.78749174278205,100,1,2.0,0.0,309.91020771579576,769.0,1618.1347433937476
1,74,1,6,6,15,-1.35677964944704,0.584962500721156,0.0036716014904636,0,6.5792512120101,100,1,0.0,,79.52600955227001,155.0,2188.154838156514
1,74,1,7,7,15,-1.27761343681912,0.514573172829758,0.0026019874808985,0,6.5792512120101,100,1,1.0,1.0,1752.362007630619,-36.0,548.2624976248471
1,74,1,8,8,15,-1.20751874963942,0.459431618637297,0.0019128689978753,0,6.5792512120101,100,1,1.0,1.0,1061.3637896317086,754.0,1036.1563766293216
1,74,1,9,9,15,-1.14511041438158,0.415037499278844,0.0014482390762564,0,6.5792512120101,100,1,2.0,0.0,672.9653447942079,260.0,1079.6953405867548
1,74,1,10,10,15,-1.08923007884258,0.37851162325373,0.0011232790298653,1,6.5792512120101,100,1,3.0,0.0,539.778806909986,754.0,1115.1429063947553
1,74,1,11,11,15,-1.03892059503159,0.347923303420307,0.0008890321161728,0,6.5792512120101,100,1,3.0,0.0,571.8456159418666,140.0,1177.0866802648782
1,74,1,12,12,15,-0.993392729010363,0.321928094887362,0.0007158347622165,0,6.5792512120101,100,1,0.0,,772.6188640027352,-85.0,1121.4270604299686
1,74,1,13,13,15,-0.951994081908783,0.299560281858908,0.0005849737397291,0,6.5792512120101,100,1,0.0,,1411.8604436176747,60.0,2264.825360445484
1,74,1,14,14,15,-0.914182838435214,0.280107919192735,0.0004842344337892,0,6.5792512120101,100,1,0.0,,1025.5480838829758,603.0,3131.4556120102525
1,74,1,15,15,15,-0.879506460812006,0.263034405833794,0.0004054074862899,0,6.5792512120101,100,1,4.0,0.0,324.30287163593164,2247.0,2033.8857295481657
2,74,2,16,1,15,-1.92192809488736,2.0,0.0780719051126377,0,0.0,60,0,0.0,,901.740619716545,768.0,679.7666457882591
2,74,2,17,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,60,1,1.0,0.0,1435.3080204381454,825.0,1089.0361457952254
2,74,2,18,3,15,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,60,0,0.0,,767.1182535486745,1099.0,765.2819494226477
2,74,2,19,4,15,-1.75,1.22239242133645,0.0148736716970261,0,1.79175946922805,60,1,0.0,,448.6785504163683,583.0,799.8004411376382
2,74,2,20,5,15,-1.65774272650489,1.0,0.0089239401617778,0,3.17805383034795,60,1,1.0,0.0,613.3408856478029,608.0,1589.3302930438676
2,74,2,21,6,15,-1.76096404744368,3.16992500144231,0.0479969065549501,0,3.17805383034795,60,0,0.0,,-245.24636751502737,720.0,765.665911279562
2,74,2,22,7,15,-1.68581570915303,1.0,0.0059697885230434,0,3.17805383034795,60,1,4.0,1.0,828.8207018679611,817.0,262.32419316455207
2,74,2,23,8,15,-1.79248125036058,3.4594316186373,0.0411357845828078,0,1.79175946922805,60,0,0.0,,725.0451288426115,768.0,267.33822402731175
2,74,2,24,9,15,-1.72724860626392,1.0,0.0042725479150744,0,3.17805383034795,60,1,0.0,,409.33997254098813,852.0,1636.1936929650797
2,74,2,25,10,15,-1.66449777920046,0.893084796083488,0.0031676977648571,0,3.17805383034795,60,1,4.0,1.0,1059.1060875756657,109.0,1381.8110841070786
2,74,2,26,11,15,-1.72323142879762,2.8073549220576,0.0174568265933169,0,2.484906649788,60,0,0.0,,183.26038564301223,784.0,2090.8070732991437
2,74,2,27,12,15,-1.78063906222957,2.90689059560852,0.0165710644937353,0,1.79175946922805,60,0,0.0,,200.93943957404417,545.0,
2,74,2,28,13,15,-1.73222166376165,1.0,0.0024974536308848,0,1.79175946922805,60,1,4.0,1.0,-64.01923021581251,194.0,131.8500235174945
2,74,2,29,14,15,-1.68497744848673,0.917537839808027,0.0019840028330547,0,3.17805383034795,60,1,1.0,0.0,728.3375915456726,-40.0,840.5739540240252
2,74,2,30,15,15,-1.74877259474022,3.16992500144231,0.0143599881125936,0,1.79175946922805,60,0,0.0,,390.6566953280717,-14.0,459.8959395171282
3,74,3,31,1,15,-1.92192809488736,2.0,0.0780719051126377,0,0.0,80,0,0.0,,785.4263761080084,756.0,1045.809168229945
3,74,3,32,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,0.0,,594.4443133626395,399.0,1655.425694562572
3,74,3,33,3,15,-1.66449777920046,1.0,0.0147718639657485,0,1.79175946922805,80,1,0.0,,622.1149484034448,886.0,971.7596097371612
3,74,3,34,4,15,-1.75,2.8073549220576,0.0573549220576041,0,1.79175946922805,80,0,0.0,,1006.1530501434702,762.0,2488.303885697648
3,74,3,35,5,15,-1.65774272650489,1.0,0.0089239401617778,0,3.17805383034795,80,1,0.0,,381.23053735067134,798.0,699.5755621726034
3,74,3,36,6,15,-1.57095059445467,0.84799690655495,0.0058175500552262,0,4.78749174278205,80,1,0.0,,148.8791575747756,696.0,2214.780579212356
3,74,3,37,7,15,-1.49111485005519,0.736965594166206,0.0040189261914409,0,4.78749174278205,80,1,0.0,,1399.459509222569,751.0,1279.595848693899
3,74,3,38,8,15,-1.41829583405449,0.652076696579693,0.0028991698777383,0,4.78749174278205,80,1,0.0,,483.56050509156563,412.0,1000.6626720224713
3,74,3,39,9,15,-1.54659356429494,3.58496250072116,0.038368936426218,0,3.17805383034795,80,0,1.0,0.0,837.0275706169384,585.0,1287.1608690197502
3,74,3,40,10,15,-1.48383170684469,0.700439718141092,0.0023222970106888,0,4.78749174278205,80,1,,,,,
3,74,3,41,11,15,-1.42560519901694,0.637429920615292,0.0017997220791188,0,4.78749174278205,80,1,0.0,,188.55387825526157,37.0,
3,74,3,42,12,15,-1.37164076218686,0.584962500721156,0.0014242681865987,0,4.78749174278205,80,1,0.0,,1191.5459486847062,-198.0,1323.9023761294807
3,74,3,43,13,15,-1.49606591154385,4.0,0.0301842175731901,0,3.17805383034795,80,0,0.0,,471.70636424629623,756.0,1138.7343216536954
3,74,3,44,14,15,-1.44661666762821,0.628031222613042,0.0012250945305996,0,3.17805383034795,80,1,0.0,,838.4134403158064,1007.0,1395.6066386470402
3,74,3,45,15,15,-1.40025823261021,0.584962500721156,0.0010082157071041,0,4.78749174278205,80,1,0.0,,370.0353782326626,1349.0,1878.5574567595702
4,74,4,46,1,10,-1.92192809488736,2.0,0.0780719051126377,0,0.0,100,0,0.0,,79.79337174090517,1106.0,1230.9103354356173
4,74,4,47,2,10,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0.0,,993.226736864905,992.0,1654.7211916646118
4,74,4,48,3,10,-1.66449777920046,1.0,0.0147718639657485,0,1.79175946922805,100,1,1.0,0.0,1282.161851823026,497.0,1017.2381897568681
4,74,4,49,4,10,-1.5487949406954,0.807354922057604,0.0085599813622055,0,3.17805383034795,100,1,4.0,0.0,931.9054494099198,426.0,1408.520215334807
4,74,4,50,5,10,-1.44661666762821,0.678071905112638,0.0054312691135501,0,4.78749174278205,100,1,2.0,0.0,96.62205956486025,418.0,1365.0033915335132
4,74,4,51,6,10,-1.35677964944704,0.584962500721156,0.0036716014904636,0,6.5792512120101,100,1,4.0,0.0,354.23495677421636,750.0,691.1521645072286
4,74,4,52,7,10,-1.27761343681912,0.514573172829758,0.0026019874808985,0,6.5792512120101,100,1,2.0,0.0,891.6549288603052,766.0,1873.0496111528637
4,74,4,53,8,10,-1.20751874963942,0.459431618637297,0.0019128689978753,0,6.5792512120101,100,1,4.0,0.0,743.0152880748498,432.0,844.8501464433994
4,74,4,54,9,10,-1.14511041438158,0.415037499278844,0.0014482390762564,0,6.5792512120101,100,1,3.0,1.0,679.7798735339842,717.0,1230.2637507991299
4,74,4,55,10,10,-1.08923007884258,0.37851162325373,0.0011232790298653,0,6.5792512120101,100,1,1.0,0.0,1012.4245396208776,355.0,1607.8033656470573
5,74,5,56,1,6,-1.92192809488736,2.0,0.0780719051126377,0,0.0,80,0,0.0,,698.6840708813659,528.0,1441.2911127442812
5,74,5,57,2,6,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0.0,80,0,0.0,,658.4062047607455,557.0,1750.7836071848428
5,74,5,58,3,6,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,80,1,1.0,0.0,874.513813270437,685.0,2393.6427705580563
5,74,5,59,4,6,-1.75,1.22239242133645,0.0148736716970261,0,1.79175946922805,80,1,4.0,1.0,334.16986315583154,529.0,1401.2946225213311
5,74,5,60,5,6,-1.65774272650489,1.0,0.0089239401617778,1,3.17805383034795,80,1,4.0,1.0,101.92366386407298,-3.0,1372.9313249821848
5,74,5,61,6,6,-1.57095059445467,0.84799690655495,0.0058175500552262,0,4.78749174278205,80,1,0.0,,878.144708091576,668.0,1493.1991121284743
6,74,6,62,1,8,-1.92192809488736,2.0,0.0780719051126377,0,0.0,80,0,0.0,,834.2020022088109,-519.0,1842.3584430043431
6,74,6,63,2,8,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,0.0,,364.9622194917598,1838.0,605.6828327584305
6,74,6,64,3,8,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,80,0,0.0,,687.0184903461998,-877.0,879.3864639605097
6,74,6,65,4,8,-1.75,1.22239242133645,0.014873671697026,0,1.79175946922805,80,1,,,,,
6,74,6,66,5,8,-1.65774272650489,1.0,0.0089239401617778,0,3.17805383034795,80,1,0.0,,666.5553418774869,695.0,630.0868171939692
6,74,6,67,6,8,-1.57095059445467,0.84799690655495,0.0058175500552262,0,4.78749174278205,80,1,,,,,
6,74,6,68,7,8,-1.49111485005519,0.736965594166206,0.0040189261914409,0,4.78749174278205,80,1,,,,,
6,74,6,69,8,8,-1.61400546285422,3.4594316186373,0.0411357845828078,0,3.17805383034795,80,0,0.0,,546.4039540423992,-147.0,1402.6282878469751
7,74,7,70,1,5,-1.92192809488736,2.0,0.0780719051126377,0,0.0,60,0,,,,,
7,74,7,71,2,5,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,60,1,,,,,
7,74,7,72,3,5,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,60,0,,,,,
7,74,7,73,4,5,-1.90563906222957,2.8073549220576,0.0573549220576041,0,0.693147180559945,60,0,,,,,
7,74,7,74,5,5,-1.83659166810898,1.41503749927884,0.0145361093482848,0,1.79175946922805,60,1,,,,,
8,75,1,1,1,15,-1.92192809488736,2.0,0.0780719051126377,0,0.0,100,0,0.0,,1376.0322973890466,750.0,1391.754155942981
8,75,1,2,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,4.0,1.0,1466.7211630563918,750.0,1495.4185851529967
8,75,1,3,3,15,-1.66449777920046,1.0,0.0147718639657485,0,1.79175946922805,100,1,0.0,,904.4711142558267,767.0,1412.7155382922767
8,75,1,4,4,15,-1.5487949406954,0.807354922057604,0.0085599813622055,0,3.17805383034795,100,1,,,,,
8,75,1,5,5,15,-1.44661666762821,0.678071905112638,0.0054312691135501,0,4.78749174278205,100,1,2.0,0.0,695.9485234206538,768.0,281.4257119849651
8,75,1,6,6,15,-1.35677964944704,0.584962500721156,0.0036716014904636,0,6.5792512120101,100,1,0.0,,669.6852495853273,767.0,1717.8782201541749
8,75,1,7,7,15,-1.27761343681912,0.514573172829758,0.0026019874808985,0,6.5792512120101,100,1,0.0,,112.83494924966897,767.0,1750.2624409910393
8,75,1,8,8,15,-1.20751874963942,0.459431618637297,0.0019128689978753,0,6.5792512120101,100,1,,,,,
8,75,1,9,9,15,-1.14511041438158,0.415037499278844,0.0014482390762564,0,6.5792512120101,100,1,,,,,
8,75,1,10,10,15,-1.08923007884258,0.37851162325373,0.0011232790298653,0,6.5792512120101,100,1,4.0,1.0,342.66893035323176,748.0,1758.2436480486444
8,75,1,11,11,15,-1.03892059503159,0.347923303420307,0.0008890321161728,0,6.5792512120101,100,1,4.0,1.0,357.9224310331726,41.0,4094.9829664220397
