,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[0],0.526,0.122,0.336,0.724,0.001,0.0,31341.556,15454.42,1.0
LT0[1],-0.102,0.113,-0.279,0.079,0.001,0.001,21716.482,15125.931,1.001
LT0[2],0.17,0.116,-0.018,0.351,0.001,0.001,31585.506,13389.226,1.0
LT0[3],0.006,0.112,-0.181,0.178,0.001,0.001,31489.705,14949.078,1.0
LT0[4],0.161,0.105,0.002,0.335,0.001,0.001,29201.694,14360.786,1.0
LT0[5],0.328,0.129,0.117,0.529,0.001,0.001,26793.097,16127.702,1.0
LT0[6],-0.192,0.113,-0.373,-0.012,0.001,0.001,20437.406,15394.644,1.0
LT0[7],0.5,0.145,0.27,0.73,0.001,0.001,23706.684,15227.445,1.0
LT0[8],0.372,0.075,0.249,0.491,0.0,0.0,30944.252,15135.093,1.0
LT0[9],-0.066,0.105,-0.233,0.103,0.001,0.001,23914.88,14693.898,1.0
LT0[10],-1.409,0.134,-1.622,-1.195,0.001,0.001,15745.518,15689.039,1.0
LT0[11],0.341,0.176,0.049,0.612,0.001,0.001,23448.038,14554.95,1.0
LT0[12],0.083,0.106,-0.079,0.257,0.001,0.001,24506.144,16104.139,1.0
LT0[13],0.137,0.103,-0.03,0.296,0.001,0.001,31029.311,14761.335,1.0
LT0[14],0.027,0.17,-0.243,0.3,0.001,0.001,24537.953,15579.235,1.0
LT0[15],-0.795,0.198,-1.102,-0.474,0.002,0.002,7670.478,11263.24,1.0
LT0[16],-0.38,0.427,-1.069,0.292,0.006,0.004,5581.207,9245.159,1.0
LT0[17],0.194,0.151,-0.052,0.429,0.001,0.001,26261.592,14986.72,1.0
LT0[18],-0.642,0.176,-0.927,-0.367,0.001,0.001,31680.469,14827.84,1.0
LT0[19],0.07,0.161,-0.188,0.324,0.001,0.001,24230.278,15289.944,1.0
LT0[20],0.025,0.097,-0.131,0.181,0.001,0.001,28732.074,15066.222,1.0
LT0[21],0.502,0.11,0.324,0.675,0.001,0.0,27943.759,13949.575,1.0
LT0[22],0.14,0.143,-0.089,0.369,0.001,0.001,24013.707,14220.495,1.0
LT0[23],-0.37,0.211,-0.717,-0.048,0.002,0.001,17861.945,15055.875,1.0
LT0[24],0.334,0.145,0.106,0.571,0.001,0.001,25796.141,14941.142,1.0
LT0[25],0.246,0.188,-0.051,0.549,0.001,0.001,24436.963,14906.629,1.0
LT0[26],-0.032,0.094,-0.179,0.119,0.001,0.001,24509.66,15274.365,1.0
LT0[27],0.417,0.111,0.241,0.596,0.001,0.001,23687.047,14283.789,1.0
LT0[28],0.067,0.125,-0.131,0.269,0.001,0.001,28056.262,14766.345,1.0
LT0[29],0.074,0.158,-0.172,0.328,0.001,0.001,24288.216,16214.079,1.0
LT0[30],0.08,0.164,-0.193,0.332,0.001,0.001,21297.759,16030.557,1.0
LT0[31],-0.174,0.24,-0.564,0.203,0.002,0.002,11624.072,14400.077,1.0
LT0[32],0.031,0.186,-0.272,0.324,0.002,0.001,14762.477,15574.383,1.0
LT0[33],0.179,0.159,-0.072,0.439,0.001,0.001,28688.533,14478.455,1.0
LT0[34],-0.722,0.226,-1.077,-0.362,0.002,0.002,11253.095,13385.168,1.0
LT0[35],0.391,0.124,0.194,0.591,0.001,0.001,27507.865,15620.724,1.0
LT0[36],-0.122,0.142,-0.356,0.095,0.001,0.001,27561.495,15631.359,1.0
LT0[37],0.084,0.141,-0.14,0.311,0.001,0.001,19489.108,15678.733,1.0
LT0[38],0.316,0.104,0.144,0.474,0.001,0.0,26864.092,14394.934,1.0
LT0[39],-0.012,0.109,-0.19,0.158,0.001,0.001,30760.163,15404.022,1.0
LT0[40],0.067,0.087,-0.069,0.21,0.0,0.001,30765.944,14195.465,1.0
LT0[41],0.049,0.102,-0.115,0.211,0.001,0.001,36987.778,14072.593,1.0
LT0[42],0.26,0.1,0.099,0.416,0.001,0.0,24084.942,13540.271,1.0
LT0[43],0.277,0.127,0.077,0.484,0.001,0.001,27089.181,15349.977,1.0
LT0[44],0.305,0.144,0.069,0.527,0.001,0.001,19325.772,14663.092,1.0
LT0[45],0.766,0.139,0.543,0.988,0.001,0.001,31614.814,14204.366,1.0
LT0[46],0.105,0.182,-0.191,0.392,0.001,0.001,30645.562,14721.301,1.0
LT0[47],0.448,0.129,0.241,0.65,0.001,0.001,28306.59,14900.968,1.0
LT0[48],-0.348,0.081,-0.478,-0.22,0.0,0.0,27425.435,15903.193,1.0
LT0[49],0.542,0.272,0.094,0.96,0.003,0.002,8478.889,11794.305,1.0
LT0[50],0.065,0.096,-0.085,0.221,0.001,0.001,31587.609,15798.472,1.0
LT0[51],0.076,0.134,-0.13,0.3,0.001,0.001,33186.864,13862.345,1.0
LT0[52],0.19,0.105,0.022,0.357,0.001,0.001,25701.728,15563.797,1.0
LT0[53],0.666,0.179,0.381,0.956,0.001,0.001,22339.006,15645.272,1.0
LT0[54],0.444,0.155,0.204,0.702,0.001,0.001,26792.1,15696.11,1.0
LT0[55],0.285,0.14,0.058,0.506,0.001,0.001,26936.673,14771.986,1.0
LT0[56],0.513,0.175,0.228,0.789,0.001,0.001,24599.716,16044.136,1.0
LT0[57],0.05,0.156,-0.203,0.294,0.001,0.001,27357.276,14801.268,1.0
LT0[58],-0.07,0.087,-0.208,0.07,0.001,0.001,27739.092,15515.592,1.0
LT0[59],-0.238,0.189,-0.539,0.067,0.002,0.001,9355.607,12894.986,1.0
LT0[60],-0.007,0.096,-0.156,0.148,0.001,0.001,28508.42,15560.729,1.0
LT0[61],0.134,0.093,-0.006,0.288,0.001,0.0,29137.705,15116.242,1.0
LT0[62],-0.989,0.124,-1.179,-0.784,0.001,0.001,15631.251,15220.149,1.0
LT0[63],-0.296,0.135,-0.503,-0.069,0.001,0.001,23590.407,15558.011,1.0
LT0[64],-0.09,0.164,-0.342,0.183,0.001,0.001,28620.284,14835.12,1.0
LT0[65],0.117,0.145,-0.112,0.355,0.001,0.001,29625.403,14485.769,1.0
LT0[66],-0.084,1.003,-1.643,1.54,0.03,0.021,1094.018,2528.269,1.001
LT0[67],-0.4,0.869,-1.702,1.132,0.033,0.023,713.113,1297.717,1.01
LT0[68],-0.535,0.129,-0.74,-0.329,0.001,0.001,21636.62,15474.932,1.0
LT0[69],0.466,0.154,0.217,0.71,0.001,0.001,27603.732,14899.46,1.0
LT0[70],-0.375,0.128,-0.575,-0.167,0.001,0.001,20803.314,15492.084,1.0
LT0[71],0.29,0.165,0.034,0.562,0.001,0.001,33490.195,14313.069,1.0
LT0[72],-0.176,0.079,-0.3,-0.049,0.0,0.0,30071.429,15854.866,1.0
LT0[73],-0.377,0.103,-0.543,-0.214,0.001,0.0,29535.997,15037.2,1.0
LT0[74],-0.591,0.172,-0.871,-0.324,0.002,0.002,5091.701,8541.113,1.0
LT0[75],0.575,0.234,0.212,0.962,0.001,0.001,28623.535,15464.567,1.0
LT0[76],-0.445,0.182,-0.739,-0.156,0.001,0.001,26305.185,14769.63,1.0
LT0[77],-0.87,0.695,-1.964,0.248,0.009,0.006,6503.572,11116.448,1.0
LT0[78],0.138,0.08,0.005,0.262,0.0,0.0,27475.957,13866.871,1.0
LT0[79],0.182,0.13,-0.027,0.388,0.001,0.001,26827.801,15030.556,1.0
LT0[80],0.135,0.116,-0.046,0.326,0.001,0.001,27932.187,15147.814,1.0
LT0[81],-0.229,0.095,-0.379,-0.078,0.001,0.0,21989.098,14685.064,1.0
LT0[82],-0.845,0.217,-1.188,-0.5,0.001,0.001,23361.275,14947.582,1.0
LT0[83],0.239,0.172,-0.038,0.512,0.002,0.001,9616.718,13107.572,1.0
LT0[84],-0.818,0.153,-1.066,-0.576,0.001,0.001,14871.008,15949.224,1.0
LT0[85],-0.43,0.117,-0.616,-0.243,0.001,0.001,25058.794,15158.377,1.0
LT0[86],0.068,0.141,-0.153,0.294,0.001,0.001,28969.586,13735.279,1.0
LT0[87],-0.486,0.135,-0.703,-0.273,0.001,0.001,21138.083,15875.955,1.0
LT0[88],0.371,0.092,0.221,0.515,0.001,0.0,28718.761,14148.118,1.0
LT0[89],-0.161,0.28,-0.598,0.291,0.002,0.002,19888.209,14629.276,1.0
LT0[90],-0.817,0.082,-0.948,-0.686,0.0,0.0,28539.557,14925.287,1.0
LT0[91],0.042,0.075,-0.079,0.159,0.0,0.0,28597.813,13830.807,1.0
LT0[92],-0.235,0.122,-0.433,-0.043,0.001,0.001,26550.481,15963.391,1.0
LT0[93],-0.128,0.103,-0.297,0.032,0.001,0.001,35830.683,14805.594,1.0
LT0[94],-0.158,0.107,-0.329,0.013,0.001,0.001,20645.698,14873.508,1.0
LT0[95],-0.137,0.079,-0.263,-0.011,0.0,0.0,30638.124,13470.957,1.001
LT0[96],-1.605,0.122,-1.798,-1.41,0.001,0.001,6828.343,10741.602,1.0
LT0[97],-1.342,0.308,-1.811,-0.836,0.002,0.001,24626.274,15002.928,1.0
LT0[98],-1.151,0.21,-1.492,-0.82,0.003,0.002,6269.662,10671.057,1.0
LT0[99],-1.224,0.297,-1.691,-0.751,0.002,0.001,20756.713,16164.557,1.0
LT0[100],-1.466,0.146,-1.698,-1.235,0.001,0.001,12168.343,13444.031,1.0
LT0[101],-0.17,0.104,-0.337,-0.007,0.001,0.001,22544.196,14241.137,1.0
LT0[102],-0.888,0.147,-1.114,-0.646,0.001,0.001,22521.574,15893.775,1.0
LT0[103],-0.148,0.094,-0.294,0.006,0.001,0.0,34652.34,14815.693,1.0
LT0[104],-0.094,0.116,-0.286,0.085,0.001,0.001,32509.215,14449.171,1.0
LT0[105],0.214,0.123,0.009,0.401,0.001,0.001,32600.043,14187.402,1.0
LT0[106],0.476,0.17,0.203,0.743,0.001,0.001,22928.677,14843.431,1.0
LT0[107],0.154,0.091,0.007,0.299,0.0,0.0,34369.578,14663.944,1.0
LT0[108],-1.094,0.385,-1.699,-0.476,0.008,0.005,2610.69,5307.186,1.0
LT0[109],-0.926,0.274,-1.356,-0.481,0.002,0.002,14058.722,12825.427,1.0
LT0[110],0.157,0.094,0.005,0.308,0.001,0.0,27890.262,14570.593,1.0
LT0[111],-0.447,0.072,-0.561,-0.332,0.0,0.0,26254.793,14346.473,1.0
LT0[112],0.921,0.137,0.702,1.139,0.001,0.001,21424.826,16373.014,1.0
LT0[113],-0.144,0.147,-0.365,0.105,0.001,0.001,19698.233,15318.445,1.0
LT0[114],0.339,0.1,0.183,0.501,0.001,0.0,31024.438,14258.724,1.0
LT0[115],0.455,0.166,0.186,0.718,0.001,0.001,33523.565,14957.61,1.0
LT0[116],-0.476,0.146,-0.703,-0.237,0.001,0.001,12581.815,14048.036,1.0
LT0[117],-0.161,0.103,-0.33,-0.002,0.001,0.001,31086.463,14817.455,1.0
LT0[118],0.156,0.085,0.021,0.29,0.001,0.0,26376.177,14847.331,1.0
LT0[119],-1.152,0.183,-1.454,-0.87,0.002,0.001,8687.264,11630.959,1.0
LT0[120],-0.36,0.15,-0.604,-0.121,0.001,0.001,32799.278,12988.995,1.0
LT0[121],0.179,0.087,0.042,0.317,0.0,0.0,30421.169,14539.224,1.0
LT0[122],0.25,0.136,0.034,0.469,0.001,0.001,28246.626,15066.366,1.0
LT0[123],-0.446,0.181,-0.729,-0.154,0.001,0.001,15145.255,15366.774,1.0
LT0[124],0.056,0.08,-0.068,0.186,0.0,0.0,26633.856,14714.718,1.0
LT0[125],0.097,0.084,-0.04,0.227,0.0,0.0,31361.672,14443.843,1.0
LT0[126],0.195,0.127,-0.008,0.396,0.001,0.001,31591.44,13844.315,1.0
LT0[127],-0.137,0.143,-0.364,0.091,0.001,0.001,23147.522,15263.917,1.0
LT0[128],-0.003,0.123,-0.194,0.198,0.001,0.001,15182.447,15608.164,1.0
LT0[129],-0.244,0.084,-0.375,-0.109,0.001,0.0,24420.232,14881.051,1.0
LT0[130],0.18,0.165,-0.083,0.446,0.001,0.001,22702.865,15174.852,1.0
LT0[131],0.092,0.155,-0.15,0.345,0.001,0.001,29392.699,15166.121,1.0
LT0[132],-0.666,0.243,-1.055,-0.276,0.002,0.001,17786.26,15461.47,1.0
LT0[133],-0.405,0.179,-0.696,-0.122,0.001,0.001,16170.673,15672.999,1.0
LT0[134],-0.405,0.167,-0.664,-0.131,0.001,0.001,17058.341,14630.49,1.0
LT0[135],0.615,0.069,0.499,0.719,0.0,0.0,27531.446,15174.714,1.0
LT0[136],0.13,0.103,-0.033,0.295,0.001,0.001,28804.608,14305.585,1.0
LT0[137],0.257,0.108,0.089,0.433,0.001,0.0,27912.95,15490.293,1.0
LT0[138],-0.09,0.106,-0.262,0.077,0.001,0.001,24620.801,15573.672,1.0
LT0[139],-0.373,0.12,-0.565,-0.184,0.001,0.001,18225.126,15616.586,1.0
LT0[140],-0.227,0.129,-0.44,-0.03,0.001,0.001,16466.995,16017.137,1.0
LT0[141],0.457,0.08,0.326,0.58,0.0,0.0,29583.458,14604.996,1.0
LT0[142],-0.278,0.202,-0.597,0.046,0.001,0.001,23751.091,16027.897,1.0
LT0[143],0.431,0.151,0.2,0.679,0.001,0.001,33021.121,15519.421,1.0
LT0[144],-0.003,0.173,-0.271,0.282,0.001,0.001,22791.242,15358.646,1.0
LT1[0],0.014,0.138,-0.214,0.224,0.001,0.001,26259.214,14485.633,1.0
LT1[1],0.245,0.1,0.088,0.406,0.001,0.0,23854.593,15068.696,1.0
LT1[2],-0.263,0.115,-0.45,-0.082,0.001,0.001,25907.618,15135.978,1.0
LT1[3],-0.035,0.119,-0.221,0.157,0.001,0.001,27702.104,14833.661,1.0
LT1[4],-0.013,0.106,-0.184,0.155,0.001,0.001,23970.337,14604.41,1.0
LT1[5],-0.138,0.117,-0.321,0.055,0.001,0.001,28862.363,15383.647,1.0
LT1[6],0.181,0.117,-0.001,0.371,0.001,0.001,17208.374,14310.139,1.0
LT1[7],0.177,0.154,-0.069,0.424,0.001,0.001,21059.513,15694.828,1.0
LT1[8],-0.136,0.078,-0.261,-0.011,0.001,0.0,22915.429,14453.209,1.0
LT1[9],0.18,0.102,0.015,0.34,0.001,0.001,23214.393,14251.747,1.0
LT1[10],0.075,0.134,-0.138,0.289,0.001,0.001,13607.261,14065.838,1.0
LT1[11],0.029,0.203,-0.276,0.376,0.001,0.001,19641.176,15338.952,1.0
LT1[12],0.108,0.111,-0.067,0.288,0.001,0.001,21181.077,14770.344,1.0
LT1[13],-0.108,0.104,-0.274,0.06,0.001,0.001,28661.276,13963.529,1.0
LT1[14],-0.082,0.153,-0.316,0.171,0.001,0.001,28226.61,14527.042,1.0
LT1[15],-0.048,0.179,-0.333,0.234,0.002,0.001,11561.418,14277.8,1.0
LT1[16],0.508,0.381,-0.128,1.093,0.005,0.003,5956.627,9489.134,1.0
LT1[17],0.168,0.165,-0.099,0.429,0.001,0.001,19404.153,14276.599,1.0
LT1[18],0.3,0.192,-0.004,0.611,0.001,0.001,29562.345,14738.241,1.0
LT1[19],-0.037,0.148,-0.27,0.199,0.001,0.001,29413.021,15697.641,1.0
LT1[20],-0.016,0.103,-0.184,0.143,0.001,0.001,26468.306,14452.447,1.0
LT1[21],0.101,0.117,-0.09,0.283,0.001,0.001,29853.319,14133.476,1.0
LT1[22],-0.041,0.138,-0.261,0.176,0.001,0.001,22022.788,15311.404,1.0
LT1[23],0.187,0.187,-0.103,0.49,0.001,0.001,19781.118,15485.426,1.0
LT1[24],0.137,0.138,-0.085,0.357,0.001,0.001,30710.145,15021.105,1.0
LT1[25],0.123,0.187,-0.175,0.42,0.001,0.001,25046.899,14972.055,1.0
LT1[26],0.292,0.087,0.154,0.433,0.001,0.0,23274.378,15292.787,1.0
LT1[27],0.151,0.123,-0.052,0.342,0.001,0.001,23740.521,14544.383,1.0
LT1[28],-0.293,0.125,-0.499,-0.099,0.001,0.001,24232.454,15336.978,1.0
LT1[29],0.029,0.145,-0.192,0.27,0.001,0.001,23103.245,15424.964,1.001
LT1[30],-0.106,0.158,-0.36,0.144,0.001,0.001,24278.648,15940.606,1.0
LT1[31],0.524,0.219,0.179,0.876,0.002,0.001,13754.736,14274.87,1.0
LT1[32],0.352,0.211,0.007,0.676,0.002,0.001,12057.428,13442.92,1.0
LT1[33],-0.147,0.155,-0.389,0.104,0.001,0.001,33386.849,14453.41,1.0
LT1[34],-0.341,0.241,-0.727,0.039,0.003,0.002,8830.79,11946.755,1.0
LT1[35],-0.022,0.116,-0.209,0.161,0.001,0.001,26075.918,15220.664,1.0
LT1[36],0.142,0.126,-0.053,0.35,0.001,0.001,26888.158,14618.11,1.0
