id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
1,1,1,1,1,15,-1.92192809488736,2,0.0780719051126377,0,0,100,0,0,NaN,400,766,2350
1,1,1,2,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,NaN,83,768,2633
1,1,1,3,3,15,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,NaN,403,771,2453
1,1,1,4,4,15,-1.5487949406954,0.807354922057604,0.00855998136220558,0,3.17805383034795,100,1,4,0,1110,1094,1484
1,1,1,5,5,15,-1.44661666762821,0.678071905112638,0.00543126911355016,0,4.78749174278205,100,1,2,0,922,769,1347
1,1,1,6,6,15,-1.35677964944704,0.584962500721156,0.00367160149046367,0,6.5792512120101,100,1,0,NaN,619,155,1036
1,1,1,7,7,15,-1.27761343681912,0.514573172829758,0.00260198748089857,0,6.5792512120101,100,1,1,1,-13,-36,1477
1,1,1,8,8,15,-1.20751874963942,0.459431618637297,0.00191286899787533,0,6.5792512120101,100,1,1,1,-23,754,1443
1,1,1,9,9,15,-1.14511041438158,0.415037499278844,0.00144823907625648,0,6.5792512120101,100,1,2,0,943,260,817
1,1,1,10,10,15,-1.08923007884258,0.37851162325373,0.00112327902986537,0,6.5792512120101,100,1,3,0,608,754,1646
1,1,1,11,11,15,-1.03892059503159,0.347923303420307,0.000889032116172857,0,6.5792512120101,100,1,3,0,907,140,733
1,1,1,12,12,15,-0.993392729010363,0.321928094887362,0.000715834762216511,0,6.5792512120101,100,1,0,NaN,385,-85,1030
1,1,1,13,13,15,-0.951994081908783,0.299560281858908,0.000584973739729195,0,6.5792512120101,100,1,0,NaN,257,60,1303
1,1,1,14,14,15,-0.914182838435214,0.280107919192735,0.000484234433789272,0,6.5792512120101,100,1,0,NaN,1083,603,1020
1,1,1,15,15,15,-0.879506460812006,0.263034405833794,0.000405407486289974,0,6.5792512120101,100,1,4,0,781,2247,696
2,1,2,16,1,15,-1.92192809488736,2,0.0780719051126377,0,0,60,0,0,NaN,402,768,2323
2,1,2,17,2,15,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,60,1,1,0,842,825,1483
2,1,2,18,3,15,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,60,0,0,NaN,1149,1099,1450
2,1,2,19,4,15,-1.75,1.22239242133645,0.0148736716970261,0,1.79175946922805,60,1,0,NaN,207,583,1876
2,1,2,20,5,15,-1.65774272650489,1,0.00892394016177785,0,3.17805383034795,60,1,1,0,408,608,1700
2,1,2,21,6,15,-1.76096404744368,3.16992500144231,0.0479969065549501,0,3.17805383034795,60,0,0,NaN,1110,720,1110
2,1,2,22,7,15,-1.68581570915303,1,0.00596978852304345,0,3.17805383034795,60,1,4,1,-46,817,2363
2,1,2,23,8,15,-1.79248125036058,3.4594316186373,0.0411357845828078,0,1.79175946922805,60,0,0,NaN,790,768,2093
2,1,2,24,9,15,-1.72724860626392,1,0.00427254791507445,0,3.17805383034795,60,1,0,NaN,306,852,2046
2,1,2,25,10,15,-1.66449777920046,0.893084796083488,0.00316769776485714,0,3.17805383034795,60,1,4,1,-24,109,1633
2,1,2,26,11,15,-1.72323142879762,2.8073549220576,0.0174568265933169,0,2.484906649788,60,0,0,NaN,514,784,897
2,1,2,27,12,15,-1.78063906222957,2.90689059560852,0.0165710644937353,0,1.79175946922805,60,0,0,NaN,502,545,180
2,1,2,28,13,15,-1.73222166376165,1,0.00249745363088484,0,1.79175946922805,60,1,4,1,-122,194,1816
