,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[0],0.491,0.134,0.277,0.706,0.001,0.0,49459.316,49013.538,
LT0[1],-0.378,0.121,-0.573,-0.186,0.001,0.0,51111.668,49921.161,
LT0[2],-0.097,0.131,-0.3,0.118,0.001,0.0,49408.28,49019.877,
LT1[0],0.18,0.149,-0.047,0.427,0.001,0.0,49525.81,49814.128,
LT1[1],0.505,0.117,0.317,0.691,0.001,0.0,51043.521,49620.086,
LT1[2],-0.23,0.129,-0.441,-0.028,0.001,0.0,49460.818,49471.652,
LT2,-0.012,0.075,-0.134,0.106,0.0,0.0,46554.665,48658.787,
LT3,-0.21,0.075,-0.33,-0.091,0.0,0.0,47291.187,48657.321,
LT4,0.246,0.076,0.125,0.368,0.0,0.0,50054.2,49708.55,
SL0[0],0.116,0.148,-0.125,0.348,0.001,0.0,48354.633,48911.148,
SL0[1],-0.117,0.133,-0.328,0.098,0.001,0.0,50708.979,49708.732,
SL0[2],0.095,0.143,-0.128,0.33,0.001,0.0,48402.911,49708.787,
SL1[0],-0.352,0.219,-0.702,0.0,0.001,0.001,50008.845,47760.3,
SL1[1],-0.009,0.131,-0.219,0.198,0.001,0.0,49055.761,50022.057,
SL1[2],-0.223,0.117,-0.411,-0.036,0.001,0.0,48324.949,48495.605,
SL2,-0.024,0.084,-0.158,0.109,0.0,0.0,50067.37,49753.553,
SL3,0.085,0.082,-0.047,0.214,0.0,0.0,49458.185,47848.1,
lambda0[0],0.063,0.031,0.02,0.103,0.0,0.0,49511.715,48796.675,
lambda0[1],0.128,0.047,0.056,0.192,0.0,0.0,48929.465,48943.488,
lambda0[2],0.106,0.049,0.036,0.17,0.0,0.0,49241.796,49336.833,
beta_LA[0],-1.187,0.524,-2.015,-0.341,0.002,0.002,49976.303,49174.454,
beta_LA[1],-0.797,0.395,-1.431,-0.17,0.002,0.001,48758.977,47936.8,
beta_LA[2],-0.471,0.438,-1.173,0.225,0.002,0.001,50078.479,48232.994,
LA2,-0.04,0.229,-0.401,0.331,0.001,0.001,50104.567,48590.623,
LA3,0.233,0.231,-0.135,0.601,0.001,0.001,50228.946,49510.257,
mu_LT0,-0.01,0.545,-0.87,0.871,0.002,0.002,49163.935,49174.206,
mu_LT1,0.103,0.545,-0.761,0.977,0.002,0.002,50770.945,49499.895,
mu_SL0,0.032,0.544,-0.856,0.884,0.002,0.002,49957.312,49751.846,
mu_SL1,-0.151,0.557,-1.055,0.724,0.003,0.002,49595.106,48628.353,
kappa,0.593,0.325,0.163,1.008,0.001,0.002,49964.113,48246.754,
theta,2.227,1.702,0.273,4.126,0.008,0.015,50415.851,49238.732,
mu_LA,-0.606,0.54,-1.482,0.246,0.002,0.002,49234.599,49609.178,
